tactic,technique_id,technique_name
privilege-escalation,T1548.001,Setuid and Setgid
privilege-escalation,T1548.002,Bypass User Account Control
privilege-escalation,T1548.003,Sudo and Sudo Caching
privilege-escalation,T1548.004,Elevated Execution with Prompt
privilege-escalation,T1548.005,Temporary Elevated Cloud Access
privilege-escalation,T1548.006,TCC Manipulation
privilege-escalation,T1611,Escape to Host
reconnaissance,T1589,Gather Victim Identity Information
reconnaissance,T1589.001,Credentials
reconnaissance,T1589.002,Email Addresses
reconnaissance,T1589.003,Employee Names
reconnaissance,T1590,Gather Victim Network Information
reconnaissance,T1590.001,Domain Properties
reconnaissance,T1590.002,DNS
reconnaissance,T1590.003,Network Trust Dependencies
reconnaissance,T1590.004,Network Topology
reconnaissance,T1590.005,IP Addresses
reconnaissance,T1590.006,Network Security Appliances
reconnaissance,T1591,Gather Victim Org Information
reconnaissance,T1591.001,Determine Physical Locations
reconnaissance,T1591.002,Business Relationships
reconnaissance,T1591.003,Identify Business Tempo
reconnaissance,T1591.004,Identify Roles
reconnaissance,T1592,Gather Victim Host Information
reconnaissance,T1592.001,Hardware
reconnaissance,T1592.002,Software
reconnaissance,T1592.003,Firmware
reconnaissance,T1592.004,Client Configurations
reconnaissance,T1593,Search Open Websites/Domains
reconnaissance,T1593.001,Social Media
reconnaissance,T1593.002,Search Engines
reconnaissance,T1593.003,Code Repositories
reconnaissance,T1594,Search Victim-Owned Websites
reconnaissance,T1595,Active Scanning
reconnaissance,T1595.001,Scanning IP Blocks
reconnaissance,T1595.002,Vulnerability Scanning
reconnaissance,T1595.003,Wordlist Scanning
reconnaissance,T1596,Search Open Technical Databases
reconnaissance,T1596.001,DNS/Passive DNS
reconnaissance,T1596.002,WHOIS
reconnaissance,T1596.003,Digital Certificates
reconnaissance,T1596.004,CDNs
reconnaissance,T1596.005,Scan Databases
reconnaissance,T1597,Search Closed Sources
reconnaissance,T1597.001,Threat Intel Vendors
reconnaissance,T1597.002,Purchase Technical Data
reconnaissance,T1598,Phishing for Information
reconnaissance,T1598.001,Spearphishing Service
reconnaissance,T1598.002,Spearphishing Attachment
reconnaissance,T1598.003,Spearphishing Link
reconnaissance,T1598.004,Spearphishing Voice
reconnaissance,T1681,Search Threat Vendor Data
reconnaissance,T1682,Query Public AI Services
resource-development,T1583,Acquire Infrastructure
resource-development,T1583.001,Domains
resource-development,T1583.002,DNS Server
resource-development,T1583.003,Virtual Private Server
resource-development,T1583.004,Server
resource-development,T1583.005,Botnet
resource-development,T1583.006,Web Services
resource-development,T1583.007,Serverless
resource-development,T1583.008,Malvertising
resource-development,T1584,Compromise Infrastructure
resource-development,T1584.001,Domains
resource-development,T1584.002,DNS Server
resource-development,T1584.003,Virtual Private Server
resource-development,T1584.004,Server
resource-development,T1584.005,Botnet
resource-development,T1584.006,Web Services
resource-development,T1584.007,Serverless
resource-development,T1584.008,Network Devices
resource-development,T1585,Establish Accounts
resource-development,T1585.001,Social Media Accounts
resource-development,T1585.002,Email Accounts
resource-development,T1585.003,Cloud Accounts
resource-development,T1586,Compromise Accounts
resource-development,T1586.001,Social Media Accounts
resource-development,T1586.002,Email Accounts
resource-development,T1586.003,Cloud Accounts
resource-development,T1587,Develop Capabilities
resource-development,T1587.001,Malware
resource-development,T1587.002,Code Signing Certificates
resource-development,T1587.003,Digital Certificates
resource-development,T1587.004,Exploits
resource-development,T1588,Obtain Capabilities
resource-development,T1588.001,Malware
resource-development,T1588.002,Tool
resource-development,T1588.003,Code Signing Certificates
resource-development,T1588.004,Digital Certificates
resource-development,T1588.005,Exploits
resource-development,T1588.006,Vulnerabilities
resource-development,T1588.007,Artificial Intelligence
resource-development,T1608,Stage Capabilities
resource-development,T1608.001,Upload Malware
resource-development,T1608.002,Upload Tool
resource-development,T1608.003,Install Digital Certificate
resource-development,T1608.004,Drive-by Target
resource-development,T1608.005,Link Target
resource-development,T1608.006,SEO Poisoning
resource-development,T1650,Acquire Access
resource-development,T1683,Generate Content
resource-development,T1683.001,Written Content
resource-development,T1683.002,Audio-Visual Content
stealth,T1006,Direct Volume Access
stealth,T1009,Binary Padding
stealth,T1014,Rootkit
stealth,T1027,Obfuscated Files or Information
stealth,T1027.001,Binary Padding
stealth,T1027.002,Software Packing
stealth,T1027.003,Steganography
stealth,T1027.004,Compile After Delivery
stealth,T1027.005,Indicator Removal from Tools
stealth,T1027.006,HTML Smuggling
stealth,T1027.007,Dynamic API Resolution
stealth,T1027.008,Stripped Payloads
stealth,T1027.009,Embedded Payloads
stealth,T1027.010,Command Obfuscation
stealth,T1027.011,Fileless Storage
stealth,T1027.012,LNK Icon Smuggling
stealth,T1027.013,Encrypted/Encoded File
stealth,T1027.014,Polymorphic Code
stealth,T1027.015,Compression
stealth,T1027.016,Junk Code Insertion
stealth,T1027.017,SVG Smuggling
stealth,T1027.018,Invisible Unicode
stealth,T1036,Masquerading
stealth,T1036.001,Invalid Code Signature
stealth,T1036.002,Right-to-Left Override
stealth,T1036.003,Rename Legitimate Utilities
stealth,T1036.004,Masquerade Task or Service
stealth,T1036.005,Match Legitimate Resource Name or Location
stealth,T1036.006,Space after Filename
stealth,T1036.007,Double File Extension
stealth,T1036.008,Masquerade File Type
stealth,T1036.009,Break Process Trees
stealth,T1036.010,Masquerade Account Name
stealth,T1036.011,Overwrite Process Arguments
stealth,T1036.012,Browser Fingerprint
stealth,T1038,DLL Search Order Hijacking
stealth,T1045,Software Packing
stealth,T1054,Indicator Blocking
stealth,T1055,Process Injection
stealth,T1055.001,Dynamic-link Library Injection
stealth,T1055.002,Portable Executable Injection
stealth,T1055.003,Thread Execution Hijacking
stealth,T1055.004,Asynchronous Procedure Call
stealth,T1055.005,Thread Local Storage
stealth,T1055.008,Ptrace System Calls
stealth,T1055.009,Proc Memory
stealth,T1055.011,Extra Window Memory Injection
stealth,T1055.012,Process Hollowing
stealth,T1055.013,Process Doppelgänging
stealth,T1055.014,VDSO Hijacking
stealth,T1055.015,ListPlanting
stealth,T1064,Scripting
stealth,T1066,Indicator Removal from Tools
stealth,T1070,Indicator Removal
stealth,T1070.001,Clear Windows Event Logs
stealth,T1070.002,Clear Linux or Mac System Logs
stealth,T1070.003,Clear Command History
stealth,T1070.004,File Deletion
stealth,T1070.005,Network Share Connection Removal
stealth,T1070.006,Timestomp
stealth,T1070.007,Clear Network Connection History and Configurations
stealth,T1070.008,Clear Mailbox Data
stealth,T1070.009,Clear Persistence
stealth,T1070.010,Relocate Malware
stealth,T1073,DLL Side-Loading
stealth,T1078,Valid Accounts
stealth,T1078.001,Default Accounts
stealth,T1078.002,Domain Accounts
stealth,T1078.003,Local Accounts
stealth,T1078.004,Cloud Accounts
stealth,T1085,Rundll32
stealth,T1088,Bypass User Account Control
stealth,T1089,Disabling Security Tools
stealth,T1093,Process Hollowing
stealth,T1096,NTFS File Attributes
stealth,T1099,Timestomp
stealth,T1107,File Deletion
stealth,T1108,Redundant Access
stealth,T1109,Component Firmware
stealth,T1116,Code Signing
stealth,T1117,Regsvr32
stealth,T1118,InstallUtil
stealth,T1121,Regsvcs/Regasm
stealth,T1122,Component Object Model Hijacking
stealth,T1126,Network Share Connection Removal
stealth,T1127,Trusted Developer Utilities Proxy Execution
stealth,T1127.001,MSBuild
stealth,T1127.002,ClickOnce
stealth,T1127.003,JamPlus
stealth,T1130,Install Root Certificate
stealth,T1134,Access Token Manipulation
stealth,T1134.001,Token Impersonation/Theft
stealth,T1134.002,Create Process with Token
stealth,T1134.003,Make and Impersonate Token
stealth,T1134.004,Parent PID Spoofing
stealth,T1134.005,SID-History Injection
stealth,T1140,Deobfuscate/Decode Files or Information
stealth,T1143,Hidden Window
stealth,T1144,Gatekeeper Bypass
stealth,T1146,Clear Command History
stealth,T1147,Hidden Users
stealth,T1148,HISTCONTROL
stealth,T1149,LC_MAIN Hijacking
stealth,T1150,Plist Modification
stealth,T1151,Space after Filename
stealth,T1152,Launchctl
stealth,T1158,Hidden Files and Directories
stealth,T1170,Mshta
stealth,T1181,Extra Window Memory Injection
stealth,T1183,Image File Execution Options Injection
stealth,T1186,Process Doppelgänging
stealth,T1191,CMSTP
stealth,T1196,Control Panel Items
stealth,T1197,BITS Jobs
stealth,T1198,SIP and Trust Provider Hijacking
stealth,T1202,Indirect Command Execution
stealth,T1205,Traffic Signaling
stealth,T1205.001,Port Knocking
stealth,T1205.002,Socket Filters
stealth,T1211,Exploitation for Stealth
stealth,T1216,System Script Proxy Execution
stealth,T1216.001,PubPrn
stealth,T1216.002,SyncAppvPublishingServer
stealth,T1218,System Binary Proxy Execution
stealth,T1218.001,Compiled HTML File
stealth,T1218.002,Control Panel
stealth,T1218.003,CMSTP
stealth,T1218.004,InstallUtil
stealth,T1218.005,Mshta
stealth,T1218.007,Msiexec
stealth,T1218.008,Odbcconf
stealth,T1218.009,Regsvcs/Regasm
stealth,T1218.010,Regsvr32
stealth,T1218.011,Rundll32
stealth,T1218.012,Verclsid
stealth,T1218.013,Mavinject
stealth,T1218.014,MMC
stealth,T1218.015,Electron Applications
stealth,T1220,XSL Script Processing
stealth,T1221,Template Injection
stealth,T1223,Compiled HTML File
stealth,T1480,Execution Guardrails
stealth,T1480.001,Environmental Keying
stealth,T1480.002,Mutual Exclusion
stealth,T1497,Virtualization/Sandbox Evasion
stealth,T1497.001,System Checks
stealth,T1497.002,User Activity Based Checks
stealth,T1497.003,Time Based Checks
stealth,T1500,Compile After Delivery
stealth,T1502,Parent PID Spoofing
stealth,T1506,Web Session Cookie
stealth,T1527,Application Access Token
stealth,T1535,Unused/Unsupported Cloud Regions
stealth,T1536,Revert Cloud Instance
stealth,T1542,Pre-OS Boot
stealth,T1542.001,System Firmware
stealth,T1542.002,Component Firmware
stealth,T1542.003,Bootkit
stealth,T1542.004,ROMMONkit
stealth,T1542.005,TFTP Boot
stealth,T1562,Impair Defenses
stealth,T1562.001,Disable or Modify Tools
stealth,T1562.002,Disable Windows Event Logging
stealth,T1562.003,Impair Command History Logging
stealth,T1562.004,Disable or Modify System Firewall
stealth,T1562.006,Indicator Blocking
stealth,T1562.007,Disable or Modify Cloud Firewall
stealth,T1562.008,Disable or Modify Cloud Logs
stealth,T1562.009,Safe Mode Boot
stealth,T1562.010,Downgrade Attack
stealth,T1562.011,Spoof Security Alerting
stealth,T1562.012,Disable or Modify Linux Audit System
stealth,T1562.013,Disable or Modify Network Device Firewall
stealth,T1564,Hide Artifacts
stealth,T1564.001,Hidden Files and Directories
stealth,T1564.002,Hidden Users
stealth,T1564.003,Hidden Window
stealth,T1564.004,NTFS File Attributes
stealth,T1564.005,Hidden File System
stealth,T1564.006,Run Virtual Instance
stealth,T1564.007,VBA Stomping
stealth,T1564.008,Email Hiding Rules
stealth,T1564.009,Resource Forking
stealth,T1564.010,Process Argument Spoofing
stealth,T1564.011,Ignore Process Interrupts
stealth,T1564.012,File/Path Exclusions
stealth,T1564.013,Bind Mounts
stealth,T1564.014,Extended Attributes
stealth,T1574,Hijack Execution Flow
stealth,T1574.001,DLL
stealth,T1574.002,DLL Side-Loading
stealth,T1574.004,Dylib Hijacking
stealth,T1574.005,Executable Installer File Permissions Weakness
stealth,T1574.006,Dynamic Linker Hijacking
stealth,T1574.007,Path Interception by PATH Environment Variable
stealth,T1574.008,Path Interception by Search Order Hijacking
stealth,T1574.009,Path Interception by Unquoted Path
stealth,T1574.010,Services File Permissions Weakness
stealth,T1574.011,Services Registry Permissions Weakness
stealth,T1574.012,COR_PROFILER
stealth,T1574.013,KernelCallbackTable
stealth,T1574.014,AppDomainManager
stealth,T1612,Build Image on Host
stealth,T1620,Reflective Code Loading
stealth,T1622,Debugger Evasion
stealth,T1656,Impersonation
stealth,T1672,Email Spoofing
stealth,T1678,Delay Execution
stealth,T1679,Selective Exclusion
stealth,T1684,Social Engineering
stealth,T1684.001,Impersonation
stealth,T1684.002,Email Spoofing
